dataset,feature_space,run,seed,test_mae,test_rmse,test_r2
SI216,pca10,15,56,2.062121212121212,2.301865953674729,0.00445805728088311
SI216,regular,16,57,2.647878787878788,3.00899493270602,-0.006930249183006554
SI216,pca10,16,57,2.55969696969697,2.983050604513928,0.010358915441176397
SI216,regular,17,58,2.216666666666667,2.5505176737361386,-0.10550841136079936
SI216,pca10,17,58,2.294848484848485,2.76033832650414,-0.2948814450686643
SI216,regular,18,59,2.8981818181818184,3.407965416906147,-3.8795889660493836
SI216,pca10,18,59,2.5330303030303027,3.1675091383315914,-3.215301427469135
SI216,regular,19,60,2.5321212121212118,2.9042247179103087,-0.07655808720112511
SI216,pca10,19,60,2.7293939393939395,3.1283456434106616,-0.24912671120487584
SI216,regular,20,61,2.1784848484848482,2.430150055640452,0.14727787059135522
SI216,pca10,20,61,2.403636363636364,2.579584963876667,0.039182232829488406
SI216,regular,21,62,2.235454545454546,3.0241654663190585,-0.5586123787167454
SI216,pca10,21,62,2.056060606060606,2.9596670915711605,-0.4928382316118938
SI216,regular,22,63,2.8100000000000005,3.1940005312991717,-0.3359289682539679
SI216,pca10,22,63,3.025151515151515,3.309110320178388,-0.433956216931217
SI216,regular,23,64,2.7375757575757578,3.183236393891277,0.02845303750660333
SI216,pca10,23,64,3.0821212121212116,3.427139308283782,-0.12613260257087533
SI216,regular,24,65,2.7199999999999998,3.2860036825938286,-0.2256437565144882
SI216,pca10,24,65,2.963333333333333,3.5888721111657116,-0.46198908692933083
SI216,regular,25,66,2.7330303030303025,3.1932465035326087,-5.1690780555555556
SI216,pca10,25,66,2.5936363636363637,3.1340497246801426,-4.942471944444445
SI216,regular,26,67,2.522121212121212,2.868537972732817,-0.44297061191626397
SI216,pca10,26,67,2.412424242424242,2.776160599959533,-0.35152925925925915
SI216,regular,27,68,2.6390909090909087,3.026609097036257,-0.03203340575212099
SI216,pca10,27,68,2.4133333333333336,2.834035563601413,0.09511855990068252
SI216,regular,28,69,2.08,2.27129829824177,0.35912288386949553
SI216,pca10,28,69,2.26969696969697,2.578899224886698,0.173781040383299
SI216,regular,29,70,2.2933333333333334,2.7549796970782072,-0.12546505991285395
SI216,pca10,29,70,2.608484848484849,3.0119294799047323,-0.3451936546840957
SI216,regular,30,71,2.476969696969697,2.829995181492846,-0.7748600732600726
SI216,pca10,30,71,3.088181818181818,3.294668941539261,-1.4055605413105403
SI216,regular,31,72,2.5824242424242425,2.8852473941158885,-0.08777856971442266
