dataset,feature_space,run,seed,test_mae,test_rmse,test_r2
Combined,pca10,65,106,3.45695652173913,4.18835797324886,-0.34569303783191563
Combined,regular,66,107,1.8885507246376811,2.559896114287068,0.008417324561403428
Combined,pca10,66,107,1.9602898550724646,2.53450182815247,0.027992836257309972
Combined,regular,67,108,2.644057971014493,3.431633038949483,-0.4158090252525255
Combined,pca10,67,108,3.044057971014493,3.9046591765510286,-0.8330286767676773
Combined,regular,68,109,2.5768115942028986,3.206588025188927,-0.028998747214865173
Combined,pca10,68,109,2.619710144927536,3.200350977129164,-0.024999684701727976
Combined,regular,69,110,2.0920289855072465,2.8667740964029176,0.023904293269470633
Combined,pca10,69,110,2.5491304347826085,3.1825463781813714,-0.20297040113755438
Combined,regular,70,111,2.355507246376811,3.17303927817945,-0.42560661134903577
Combined,pca10,70,111,2.6418840579710148,3.538499845898017,-0.7729119468236967
Combined,regular,71,112,2.5913043478260867,3.352942323127886,-0.760549305966713
Combined,pca10,71,112,2.6621739130434783,3.518669942499752,-0.9388896355502931
Combined,regular,72,113,2.9157971014492747,3.6401682155748185,-0.10249862115969366
Combined,pca10,72,113,2.953188405797102,3.797591977940478,-0.19991850512040799
Combined,regular,73,114,2.77231884057971,3.6182912266657286,-0.3474094574146127
Combined,pca10,73,114,2.7084057971014492,3.691971181866059,-0.4028432857760482
Combined,regular,74,115,2.255072463768116,2.7865567553388604,0.06814171203871766
Combined,pca10,74,115,2.636231884057971,3.1700963882997484,-0.20603252671909633
Combined,regular,75,116,2.6652173913043478,3.141636700737418,-0.11563400284900283
Combined,pca10,75,116,2.794202898550724,3.3799511187615403,-0.291310427350427
Combined,regular,76,117,2.2215942028985505,2.9399167722946387,0.05610951234058159
Combined,pca10,76,117,2.5076811594202897,3.1000317124760977,-0.04950330534911451
Combined,regular,77,118,2.7968115942028993,3.602380721120879,-0.1619686338674493
Combined,pca10,77,118,2.8610144927536227,3.6063883870248405,-0.16455546340179028
Combined,regular,78,119,2.329565217391304,3.0867291132131256,-0.09238346578047496
Combined,pca10,78,119,2.900434782608696,3.6552091740802193,-0.531801716996581
Combined,regular,79,120,2.732028985507246,3.308303635832102,-0.07697875537367738
Combined,pca10,79,120,3.32391304347826,3.9213342523738755,-0.5130878286210316
Combined,regular,80,121,3.1872463768115944,3.9468729137256813,-0.2136464310260191
Combined,pca10,80,121,3.0402898550724644,3.7374380902244875,-0.08826312223858634
Combined,regular,81,122,2.787391304347827,3.4446319646633774,0.058096656996131424
Combined,pca10,81,122,2.7502898550724635,3.525484240559697,0.013361089435774076
Combined,regular,82,123,2.7365217391304344,3.3732962419911896,-0.23757369791666627
Combined,pca10,82,123,2.475072463768116,3.25069208535912,-0.14924804459064323
Combined,regular,83,124,3.011449275362319,3.56418815413379,-0.05297998711654284
Combined,pca10,83,124,3.1930434782608694,3.9119714688308838,-0.2684992931508756
Combined,regular,84,125,2.463043478260869,3.2380193892590254,0.04634747248968385
Combined,pca10,84,125,2.6281159420289852,3.2242030060395686,0.054468435732844545
Combined,regular,85,126,2.1940579710144923,2.910800892494846,-0.1469014869782781
Combined,pca10,85,126,2.718695652173913,3.3094374640567565,-0.48255042931877656
Combined,regular,86,127,2.4591304347826086,3.300424800648289,-0.15199784974898933
Combined,pca10,86,127,2.7321739130434786,3.4212680927280226,-0.23790181260829035
Combined,regular,87,128,2.628840579710145,3.2768858935611855,-0.31490556327160535
Combined,pca10,87,128,3.00768115942029,3.610566149886374,-0.5963294933127576
Combined,regular,88,129,3.2823188405797104,4.009109795535289,-0.32068912015463735
Combined,pca10,88,129,3.361304347826087,4.016841297544855,-0.32578788616202403
Combined,regular,89,130,2.2802898550724637,2.915961902430332,-0.032124618836367524
Combined,pca10,89,130,2.4857971014492755,2.995015343568804,-0.08884622405792686
Combined,regular,90,131,2.1343478260869566,2.6360212845423665,0.17508668212647094
Combined,pca10,90,131,2.4597101449275365,2.996677709511984,-0.06608188709355667
Combined,regular,91,132,2.42,2.8028306947408796,0.055511388888888735
Combined,pca10,91,132,2.5918840579710145,3.119011673018413,-0.16959902020202033
Combined,regular,92,133,2.4627536231884055,3.0432972996580996,0.13223214271657435
Combined,pca10,92,133,3.0521739130434784,3.6662757367358196,-0.2594039398590937
Combined,regular,93,134,2.269710144927536,2.911739606529383,0.10443642838125655
Combined,pca10,93,134,2.4321739130434783,3.128099236104551,-0.033599751508697207
Combined,regular,94,135,2.680579710144927,3.495142937647811,-0.18140343286613847
Combined,pca10,94,135,2.5447826086956526,3.3180330737141355,-0.06470616087751413
Combined,regular,95,136,2.676811594202899,3.3836252462060994,-0.16291831370541066
Combined,pca10,95,136,2.8260869565217392,3.598024954732697,-0.3149615036695679
Combined,regular,96,137,2.3985507246376807,3.111410975886915,-0.0041538431372547535
Combined,pca10,96,137,2.4904347826086957,3.20648437217235,-0.06645798692810478
Combined,regular,97,138,3.640289855072464,4.333467779408205,-0.5430352352352354
Combined,pca10,97,138,3.367971014492753,4.105308511063996,-0.38482947602775175
Combined,regular,98,139,2.847536231884058,3.63005463021667,-0.6218682901607981
Combined,pca10,98,139,2.876376811594203,3.583499423181484,-0.5805343493097563
Combined,regular,99,140,2.9981159420289853,3.6624081330913048,-0.07184296576032256
Combined,pca10,99,140,3.480144927536233,3.952729687276418,-0.24850967942262536
Combined,regular,100,141,2.8223188405797104,3.569936331452988,-0.5129738829044486
Combined,pca10,100,141,2.8047826086956524,3.6418183731210343,-0.5745159161180937
