pc,explained_variance_ratio,feature,loading,abs_loading
PC6,0.03833709773549831,speed_10s_avg_stage2_col1_std_over_mean,0.1640435097432564,0.1640435097432564
PC6,0.03833709773549831,speed_10s_avg_stage2_col2_mean,-0.052020654517742425,0.052020654517742425
PC6,0.03833709773549831,speed_10s_avg_stage2_col2_std_over_mean,0.03378913852165316,0.03378913852165316
PC6,0.03833709773549831,speed_10s_avg_stage3_rows,-0.0735323543761277,0.0735323543761277
PC6,0.03833709773549831,speed_10s_avg_stage3_col1_mean,-0.09626162482846927,0.09626162482846927
PC6,0.03833709773549831,speed_10s_avg_stage3_col1_std_over_mean,0.004063618907598222,0.004063618907598222
PC6,0.03833709773549831,speed_10s_avg_stage3_col2_mean,-0.04445994637894013,0.04445994637894013
PC6,0.03833709773549831,speed_10s_avg_stage3_col2_std_over_mean,-0.025039619194120424,0.025039619194120424
PC6,0.03833709773549831,speed_10s_avg_stage4_rows,-0.1387379810410976,0.1387379810410976
PC6,0.03833709773549831,speed_10s_avg_stage4_col1_mean,-0.04864606533456954,0.04864606533456954
PC6,0.03833709773549831,speed_10s_avg_stage4_col1_std_over_mean,0.03081359173305365,0.03081359173305365
PC6,0.03833709773549831,speed_10s_avg_stage4_col2_mean,-0.01824409742344439,0.01824409742344439
PC6,0.03833709773549831,speed_10s_avg_stage4_col2_std_over_mean,-0.04888464550589229,0.04888464550589229
PC6,0.03833709773549831,speed_10s_avg_stage5_rows,0.3944554588902967,0.3944554588902967
PC6,0.03833709773549831,speed_10s_avg_stage5_col1_mean,-0.15778667716794245,0.15778667716794245
PC6,0.03833709773549831,speed_10s_avg_stage5_col1_std_over_mean,0.2702690944506252,0.2702690944506252
PC6,0.03833709773549831,speed_10s_avg_stage5_col2_mean,0.03249439481285417,0.03249439481285417
PC6,0.03833709773549831,speed_10s_avg_stage5_col2_std_over_mean,-0.2062300677063703,0.2062300677063703
PC7,0.03443609069494527,stage_2_frames,0.08243958301510748,0.08243958301510748
PC7,0.03443609069494527,stage_3_frames,0.19685296828776097,0.19685296828776097
PC7,0.03443609069494527,stage_4_frames,-0.15205201654639805,0.15205201654639805
PC7,0.03443609069494527,stage_5_frames,-0.065609710770009,0.065609710770009
PC7,0.03443609069494527,roam_mean,0.03159572286927045,0.03159572286927045
PC7,0.03443609069494527,roam_std_over_mean,-0.08515730836771818,0.08515730836771818
PC7,0.03443609069494527,roam_early_mean,0.0827015348523806,0.0827015348523806
PC7,0.03443609069494527,roam_mid_mean,-0.11938194540222294,0.11938194540222294
PC7,0.03443609069494527,roam_late_mean,0.060061716799033826,0.060061716799033826
PC7,0.03443609069494527,roam_slope,-0.11157375301569705,0.11157375301569705
PC7,0.03443609069494527,speed_1s_rows,-0.036521497042449974,0.036521497042449974
PC7,0.03443609069494527,speed_1s_stage2_rows,0.1968529682877609,0.1968529682877609
PC7,0.03443609069494527,speed_1s_stage2_col1_mean,-0.1518607070979202,0.1518607070979202
PC7,0.03443609069494527,speed_1s_stage2_col1_std_over_mean,0.532945628821134,0.532945628821134
PC7,0.03443609069494527,speed_1s_stage2_col2_mean,0.08258987990684866,0.08258987990684866
PC7,0.03443609069494527,speed_1s_stage2_col2_std_over_mean,-0.04948166720055011,0.04948166720055011
PC7,0.03443609069494527,speed_1s_stage3_rows,-0.152052016546398,0.152052016546398
PC7,0.03443609069494527,speed_1s_stage3_col1_mean,-0.04445634294838354,0.04445634294838354
PC7,0.03443609069494527,speed_1s_stage3_col1_std_over_mean,-0.2129627099638423,0.2129627099638423
PC7,0.03443609069494527,speed_1s_stage3_col2_mean,-0.02289645275471205,0.02289645275471205
PC7,0.03443609069494527,speed_1s_stage3_col2_std_over_mean,0.018145005226770573,0.018145005226770573
PC7,0.03443609069494527,speed_1s_stage4_rows,-0.06560971077000928,0.06560971077000928
PC7,0.03443609069494527,speed_1s_stage4_col1_mean,0.1869599477317108,0.1869599477317108
PC7,0.03443609069494527,speed_1s_stage4_col1_std_over_mean,-0.05283649264630074,0.05283649264630074
PC7,0.03443609069494527,speed_1s_stage4_col2_mean,-0.0881099923836688,0.0881099923836688
PC7,0.03443609069494527,speed_1s_stage4_col2_std_over_mean,0.1033971432195446,0.1033971432195446
PC7,0.03443609069494527,speed_1s_stage5_rows,-0.13891419245050138,0.13891419245050138
PC7,0.03443609069494527,speed_1s_stage5_col1_mean,-0.01222339078265577,0.01222339078265577
PC7,0.03443609069494527,speed_1s_stage5_col1_std_over_mean,-0.07053100695136544,0.07053100695136544
PC7,0.03443609069494527,speed_1s_stage5_col2_mean,0.008160254281555729,0.008160254281555729
PC7,0.03443609069494527,speed_1s_stage5_col2_std_over_mean,0.014967015407123068,0.014967015407123068
PC7,0.03443609069494527,speed_10s_avg_rows,-0.03652149704245003,0.03652149704245003
PC7,0.03443609069494527,speed_10s_avg_stage2_rows,0.19685296828776103,0.19685296828776103
PC7,0.03443609069494527,speed_10s_avg_stage2_col1_mean,-0.15186333542451183,0.15186333542451183
PC7,0.03443609069494527,speed_10s_avg_stage2_col1_std_over_mean,0.29878030548116347,0.29878030548116347
PC7,0.03443609069494527,speed_10s_avg_stage2_col2_mean,0.08255362801441087,0.08255362801441087
PC7,0.03443609069494527,speed_10s_avg_stage2_col2_std_over_mean,-0.04919367626821274,0.04919367626821274
PC7,0.03443609069494527,speed_10s_avg_stage3_rows,-0.152052016546398,0.152052016546398
PC7,0.03443609069494527,speed_10s_avg_stage3_col1_mean,-0.04446155651862043,0.04446155651862043
PC7,0.03443609069494527,speed_10s_avg_stage3_col1_std_over_mean,-0.2497028584477786,0.2497028584477786
PC7,0.03443609069494527,speed_10s_avg_stage3_col2_mean,-0.022846214060332454,0.022846214060332454
PC7,0.03443609069494527,speed_10s_avg_stage3_col2_std_over_mean,-0.03810223886642905,0.03810223886642905
PC7,0.03443609069494527,speed_10s_avg_stage4_rows,-0.06560971077000927,0.06560971077000927
PC7,0.03443609069494527,speed_10s_avg_stage4_col1_mean,0.1869520399567572,0.1869520399567572
PC7,0.03443609069494527,speed_10s_avg_stage4_col1_std_over_mean,-0.029782231701713853,0.029782231701713853
PC7,0.03443609069494527,speed_10s_avg_stage4_col2_mean,-0.08813465092517142,0.08813465092517142
PC7,0.03443609069494527,speed_10s_avg_stage4_col2_std_over_mean,0.1877619714108331,0.1877619714108331
PC7,0.03443609069494527,speed_10s_avg_stage5_rows,-0.1389141924505014,0.1389141924505014
PC7,0.03443609069494527,speed_10s_avg_stage5_col1_mean,-0.012274618210179737,0.012274618210179737
PC7,0.03443609069494527,speed_10s_avg_stage5_col1_std_over_mean,-0.1218565973971379,0.1218565973971379
PC7,0.03443609069494527,speed_10s_avg_stage5_col2_mean,0.008160064837666028,0.008160064837666028
PC7,0.03443609069494527,speed_10s_avg_stage5_col2_std_over_mean,0.007844446935927896,0.007844446935927896
